id,concrete_cement,healthy_metal,incomplete,irregular_metal,other
7a50290a,0.91944379,0.00000000,0.08055615,0.00000000,0.00000000
7a49adbe,0.94906157,0.00000000,0.04904487,0.00000000,0.00189354
7a4f5962,0.92011273,0.00000000,0.07988678,0.00000000,0.00000040
7a488d62,0.54491097,0.00000000,0.45508006,0.00000000,0.00000894
7a4cfaa0,0.87515652,0.00000000,0.12484349,0.00000000,0.00000000
7a4ac4f6,0.91131973,0.00000000,0.08868022,0.00000000,0.00000001
7a45bcc2,0.00000003,0.00000000,0.00000000,0.00000000,1.00000000
7a49fc1a,0.94466341,0.00000000,0.05533066,0.00000000,0.00000598
7a49ad50,0.73358899,0.00000000,0.26641095,0.00000000,0.00000000
7a4b6f0a,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
7a4ff908,0.87290752,0.00000000,0.12709205,0.00000000,0.00000043
7a47555a,0.91039264,0.00000000,0.08960351,0.00000000,0.00000393
7a51e9de,0.00266941,0.00000000,0.00015315,0.00000000,0.99717748
7a519c5e,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
7a504386,0.56499314,0.00000000,0.43500689,0.00000000,0.00000000
7a4d95dc,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
7a4b8a58,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
7a4f1286,0.05273824,0.00000000,0.00685298,0.00000000,0.94040877
7a4c079e,0.88463241,0.00000000,0.11536764,0.00000000,0.00000000
7a500862,0.86983120,0.00000000,0.13016875,0.00000000,0.00000000
7a51049c,0.00000007,0.00000000,0.00000001,0.00000000,0.99999988
7a49bfe8,0.00000001,0.00000000,0.00000000,0.00000000,1.00000000
7a4d5324,0.68449968,0.00000000,0.31146204,0.00000000,0.00403836
7a4be82c,0.77983052,0.00000000,0.22016948,0.00000000,0.00000000
7a4a94a4,0.00000219,0.00000000,0.00000002,0.00000000,0.99999774
7a4d8600,0.90744603,0.00000000,0.09255304,0.00000000,0.00000099
7a48a82e,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
7a4793c6,0.84722364,0.00000000,0.15277633,0.00000000,0.00000000
7a492d12,0.87161016,0.00000000,0.12838925,0.00000000,0.00000067
